name,color,age,description
Царапка,Темный телегрей ,8,"Этот кот обладает ловкостью и проворством, он всегда готов к приключениям и новым открытиям. Его острые когти и быстрые лапы позволяют ему легко взбираться на деревья и крыши домов, а также ловить мышей и птиц. Этот кот — настоящий защитник своего дома. "
Ульрика,Оперный розовато-лиловый ,32,"Любознательный кот, который любит изучать новые места и открывать для себя что-то новое. Он всегда интересуется окружающим миром и никогда не сидит на месте. Этот кот создаёт атмосферу уюта и тепла в доме. "
Юсси,Гейнсборо ,3,"Кот, который может заснуть в любом месте и в любое время. Особенно любит дремать на подоконнике, греясь на солнышке. Несмотря на свою лень, этот кот ласковый и дружелюбный. "
Элис,Ванильный ,6,"Элегантный кот, который предпочитает сидеть на окне и наблюдать за птицами. Он выглядит очень стильно и элегантно. Этот кот умный и сообразительный, всегда знает, как добиться своего. "
Люси,Желто-оливковый ,12,"Смелый кот, готовый защищать свой дом от любых опасностей. У него острые когти и крепкие зубы, которые позволяют ему дать отпор любому врагу. Этот кот всегда на страже безопасности своей семьи. "
Ориноко,Каменно-серый ,43,"Ласковый и нежный кот, который всегда рядом со своими хозяевами. Он любит, когда его гладят и обнимают, и всегда встречает своих хозяев у двери. Этот кот создаёт уютную атмосферу в доме и дарит радость своим близким. "
Варька,Медовый ,76,"Спокойный и тихий кот, предпочитающий проводить время в одиночестве. Он не любит шум и суету, предпочитает спать на мягких подушках и смотреть в окно на прохожих. Этот кот сохраняет спокойствие в любой ситуации. "
Янита,Светлый коричневый ,5,"Жизнерадостный кот, который всегда готов к веселью и приключениям. Он обожает играть со своими игрушками и исследовать новые места. Этот кот никогда не скучает и всегда находит повод для радости. "
Ялта,Серовато-зеленый ,9,"Очень любопытный кот, который постоянно ищет новые впечатления. Он исследует каждый уголок дома и всегда пытается узнать что-то новое о мире вокруг него. Этот кот не боится новых открытий и всегда готов к новым приключениям. "
Фрейя,Черновато-синий ,41,"Этот кот любит мечтать и фантазировать. Он часто смотрит в окно, представляя себе далёкие страны и приключения. Этот кот создаёт атмосферу уюта и тепла в доме, а его мечты делают жизнь ярче и интереснее. "
Ураганка,Серебристо-серый ,8,"Кот с мягкими лапками и нежным взглядом. Любит проводить время в уютном кресле, наблюдая за происходящим вокруг. Его шерсть мягкая и пушистая, как облако."
Умбрелла,Железно-серый ,52,"Энергичный кот с острым умом. Всегда находит выход из любой ситуации. Его шерсть короткая и гладкая, а хвост длинный и пушистый. "
Жанетта,Светло-желтый золотистый ,38,"Спокойный и рассудительный кот. Предпочитает проводить время дома, в окружении любимых игрушек. Его шерсть густая и шелковистая. "
Амелия,Рыжий,47,"Любопытный кот, который всегда хочет знать, что происходит. Его шерсть средней длины и мягкая на ощупь. Глаза большие и выразительные. "
Полли,Серый,13,"Независимый кот, который предпочитает свободу и одиночество. Его шерсть длинная и пушистая, а взгляд гордый и уверенный. "
Инфинити,Фельдграу ,34,"Ласковый и дружелюбный кот. Любит обниматься и получать внимание. Его шерсть нежная и приятная на ощупь, а голос мягкий и мелодичный. "
Багира,Чёрный,57,"Загадочный кот с таинственным взглядом. Его шерсть плотная и густая, а походка бесшумная. "
Вайлет,Кофе с молоком,26,"Игривый кот, который никогда не скучает. Его шерсть пушистая и мягкая, а хвост всегда в движении. "
Агаша,Серый,14,"Умный и сообразительный кот. Быстро учится новым трюкам и всегда знает, чего хочет. Его шерсть гладкая и блестящая. "
Тесси,Серый Крайола ,18,"Ласковый и дружелюбный кот, который любит внимание и ласку. Он всегда рядом со своим хозяином, готовый поддержать его в любой момент. Кот любит мурлыкать и тереться о ноги, выражая свою любовь и преданность. "
